order_id,Order Region
77202,Southeast Asia
75939,South Asia
75938,South Asia
75937,Oceania
75936,Oceania
75935,Oceania
75934,Eastern Asia
75933,Eastern Asia
75932,Eastern Asia
75931,Eastern Asia
75930,Eastern Asia
75929,Southeast Asia
75928,Southeast Asia
75927,South Asia
75926,South Asia
75925,South Asia
75924,Eastern Asia
75923,South Asia
75922,South Asia
75921,South Asia
75920,South Asia
75919,South Asia
75918,Oceania
75917,Oceania
75916,Oceania
75915,Oceania
75914,Oceania
75913,Eastern Asia
75912,Eastern Asia
75911,Eastern Asia
75910,Eastern Asia
75909,South Asia
75908,South Asia
75907,Eastern Asia
75906,Eastern Asia
75905,Southeast Asia
75904,South Asia
75903,Oceania
75902,Oceania
75901,Oceania
75900,Southeast Asia
75899,Southeast Asia
75898,Southeast Asia
75897,Southeast Asia
75896,Oceania
75895,South Asia
75894,South Asia
75893,Eastern Asia
28744,South Asia
45461,West Asia
31115,Oceania
45766,West Asia
47752,Eastern Asia
50054,West Asia
20365,South Asia
36146,West of USA 
41234,West of USA 
32090,West of USA 
34773,US Center 
44046,West Africa
46414,Central Africa
46599,West Africa
48434,North Africa
12827,Western Europe
63936,Western Europe
65030,Western Europe
18108,Western Europe
62571,Northern Europe
17162,Northern Europe
65922,Western Europe
63936,Western Europe
64813,Northern Europe
67892,Western Europe
12525,Western Europe
5895,Central America
56359,Central America
58613,Central America
7824,Caribbean
7814,South America
7814,South America
60807,Caribbean
53413,South America
7888,Central America
6783,Central America
56973,South America
7824,Caribbean
55155,Central America
5991,Central America
2263,Central America
2263,Central America
53403,Central America
51298,South America
4919,South America
52640,South America
6358,South America
57106,South America
6245,South America
52166,Caribbean
56172,Caribbean
55829,Caribbean
52478,Central America
57242,Central America
3137,Central America
60127,South America
3828,Central America
60386,South America
973,Caribbean
57999,Central America
54585,South America
57598,Caribbean
54274,Central America
60673,Central America
59387,Central America
52640,South America
10007,South America
55984,Central America
52478,Central America
58375,Central America
56448,Caribbean
8221,South America
58034,Central America
2203,Central America
53069,South America
60146,Central America
55409,South America
8678,Central America
7980,Central America
57185,Central America
8636,South America
61192,South America
55876,Central America
53331,Central America
51725,Central America
52562,South America
59754,Central America
53574,Central America
399,Central America
51050,Central Africa
45680,North Africa
42992,East Africa
41304,North Africa
45680,North Africa
44253,West Africa
46098,North Africa
41304,North Africa
71077,Southern Europe
69703,Western Europe
71112,Western Europe
69810,Western Europe
71092,Western Europe
69610,Southern Europe
71000,Western Europe
70734,Northern Europe
69626,Western Europe
69482,Western Europe
70769,Northern Europe
69643,Southern Europe
71051,Northern Europe
69408,Southern Europe
71123,Southern Europe
70534,Western Europe
69641,Southern Europe
70960,Western Europe
69908,Northern Europe
70957,Western Europe
69637,Western Europe
70955,Northern Europe
70919,Southern Europe
71009,Western Europe
69653,Northern Europe
69527,Southern Europe
71080,Western Europe
70544,Northern Europe
69471,Northern Europe
68879,Western Europe
67214,Southern Europe
17810,Northern Europe
18793,Northern Europe
65109,Western Europe
15673,Northern Europe
18183,Western Europe
20234,Western Europe
13139,Western Europe
33824,US Center 
31364,West of USA 
40495,West of USA 
31364,West of USA 
