order_id,Shipping Mode,Order Region,Order Status,delay
77202,Standard Class,Southeast Asia,COMPLETE,-1.0
75939,Standard Class,South Asia,PENDING,1.0
75938,Standard Class,South Asia,CLOSED,0.0
75937,Standard Class,Oceania,COMPLETE,-1.0
75936,Standard Class,Oceania,PENDING_PAYMENT,-2.0
75935,Standard Class,Oceania,CANCELED,2.0
75934,First Class,Eastern Asia,COMPLETE,1.0
75933,First Class,Eastern Asia,PROCESSING,1.0
75932,Second Class,Eastern Asia,CLOSED,1.0
75931,First Class,Eastern Asia,CLOSED,1.0
75930,Second Class,Eastern Asia,SUSPECTED_FRAUD,4.0
75929,Second Class,Southeast Asia,PENDING,3.0
75928,Second Class,Southeast Asia,PENDING,2.0
75927,First Class,South Asia,COMPLETE,1.0
75926,First Class,South Asia,PROCESSING,1.0
75925,First Class,South Asia,COMPLETE,1.0
75924,Second Class,Eastern Asia,PENDING_PAYMENT,3.0
75923,First Class,South Asia,CLOSED,1.0
75922,First Class,South Asia,COMPLETE,1.0
75921,Same Day,South Asia,PENDING_PAYMENT,0.0
75920,Same Day,South Asia,PROCESSING,0.0
75919,Standard Class,South Asia,PENDING,1.0
75918,Second Class,Oceania,PENDING,2.0
75917,Second Class,Oceania,CANCELED,1.0
75916,Second Class,Oceania,SUSPECTED_FRAUD,0.0
75915,Second Class,Oceania,COMPLETE,4.0
75914,Second Class,Oceania,PENDING,3.0
75913,Standard Class,Eastern Asia,PENDING_PAYMENT,0.0
75912,Standard Class,Eastern Asia,COMPLETE,-1.0
75911,Standard Class,Eastern Asia,PROCESSING,-2.0
75910,Standard Class,Eastern Asia,ON_HOLD,2.0
75909,Standard Class,South Asia,COMPLETE,1.0
75908,Standard Class,South Asia,PENDING_PAYMENT,0.0
75907,First Class,Eastern Asia,COMPLETE,1.0
75906,First Class,Eastern Asia,PENDING_PAYMENT,1.0
75905,First Class,Southeast Asia,PENDING_PAYMENT,1.0
75904,First Class,South Asia,CLOSED,1.0
